"Date","Avg.Wind","Precipitation","Temp.Max","Temp.Min","DAILY_AQI_VALUE"
2011-04-12,1.57,0,71,54,42
2011-04-13,2.68,0,64,54,43
2011-04-14,2.24,0,76,52,44
2011-04-15,0.67,0,85,57,50
2011-04-16,1.57,0,91,63,45.5
2011-04-17,1.34,0,77,61,41
2011-04-18,1.12,0,67,57,27
2011-04-19,1.79,0,70,56,28
2011-04-20,2.24,0,69,56,29
2011-04-21,1.12,0,68,56,30
2011-04-22,2.01,0,69,57,34
2011-04-23,1.34,0,69,57,42
2011-04-24,2.01,0,67,58,31
2011-04-25,2.01,0,70,55,31
2011-04-26,2.91,0,77,57,40
2011-04-27,0.89,0,85,58,49
2011-04-28,1.34,0,79,58,40
2011-04-29,1.34,0,74,57,42
2011-04-30,1.57,0,80,55,64
2011-05-01,1.34,0,83,58,50
2011-05-02,2.24,0,87,59,51
2011-05-03,1.12,0,93,62,49.3333333333333
2011-05-04,0.67,0,91,62,47.6666666666667
2011-05-05,1.57,0,84,57,46
2011-05-06,1.34,0,75,57,46
2011-05-07,1.79,0,70,58,47
2011-05-08,2.46,0,67,55,36
2011-05-09,2.24,0.03,69,55,41
2011-05-10,1.34,0,69,53,39
2011-05-11,1.79,0,73,56,44
2011-05-12,1.34,0,76,56,44
2011-05-13,1.12,0,74,58,42
2011-05-14,2.24,0,67,57,39
2011-05-15,4.7,0.07,66,53,44
2011-05-16,3.58,0,65,51,38
2011-05-17,4.92,0.18,66,51,39
2011-05-18,3.8,0.17,67,53,38
2011-05-19,2.24,0,70,56,42
2011-05-20,1.79,0,72,54,42
2011-05-21,1.34,0,73,55,49
2011-05-22,1.12,0,70,58,46
2011-05-23,1.79,0,68,56,40
2011-05-24,1.79,0,71,53,40
2011-05-25,1.79,0,75,56,47
2011-05-26,2.01,0,73,57,38
2011-05-27,2.01,0,75,57,40
2011-05-28,3.13,0,73,57,43
2011-05-29,3.58,0,73,56,45
2011-05-30,2.01,0,76,56,45
2011-05-31,1.57,0,72,54,38
2011-06-01,2.01,0,69,54,39
2011-06-02,2.24,0,74,55,40
2011-06-03,3.36,0,77,56,41
2011-06-04,2.68,0,71,57,42
2011-06-05,2.01,0,74,56,36
2011-06-06,2.46,0,71,57,33
2011-06-07,2.01,0,74,57,37
2011-06-08,1.12,0,70,59,31
2011-06-09,1.12,0,69,58,38
2011-06-10,1.12,0,69,59,42
2011-06-11,0.89,0,69,59,49
2011-06-12,1.12,0,71,59,47
2011-06-13,1.57,0,73,59,41
2011-06-14,1.79,0,76,58,44
2011-06-15,1.12,0,78,58,36
2011-06-16,2.01,0,71,61,29
2011-06-17,1.57,0.01,72,60,41
2011-06-18,2.24,0,74,60,44
2011-06-19,1.12,0,69,60,39
2011-06-20,1.34,0,77,60,42
2011-06-21,1.34,0,80,60,43
2011-06-22,1.12,0,77,61,45
2011-06-23,1.57,0,79,61,41
2011-06-24,2.01,0,77,62,44
2011-06-25,1.57,0,77,61,51
2011-06-26,1.12,0,80,59,54
2011-06-27,1.79,0,82,60,42
2011-06-28,1.79,0,78,62,41
2011-06-29,2.24,0,75,62,24
2011-06-30,1.79,0,81,60,38
2011-07-01,1.79,0,85,63,49
2011-07-02,1.12,0,84,65,54
2011-07-03,1.34,0,81,63,61
2011-07-04,0.67,0,88,63,71
2011-07-05,1.79,0,89,68,33
2011-07-06,2.24,0,85,68,25
2011-07-07,1.12,0,88,68,31
2011-07-08,1.12,0,84,66,31
2011-07-09,1.12,0,81,65,42
2011-07-10,1.57,0,79,64,45
2011-07-11,2.01,0,79,63,40
2011-07-12,2.01,0,76,64,34
2011-07-13,1.12,0,76,63,39
2011-07-14,0.67,0,74,62,26
2011-07-15,1.79,0,78,62,33
2011-07-16,1.57,0,77,60,39
2011-07-17,1.12,0,78,60,38
2011-07-18,1.57,0,82,62,39
2011-07-19,1.57,0,86,63,40
2011-07-20,1.57,0,80,60,42
2011-07-21,1.12,0,78,61,41
2011-07-22,1.57,0,78,62,40
2011-07-23,1.34,0,79,62,50
2011-07-24,1.34,0,77,60,46
2011-07-25,1.79,0,84,65,39
2011-07-26,1.12,0,84,65,29
2011-07-27,1.57,0,78,66,26
2011-07-28,1.57,0,79,65,35
2011-07-29,2.01,0,76,64,31
2011-07-30,2.01,0,76,63,34
2011-07-31,1.57,0,82,64,39
2011-08-01,1.12,0,86,64,40
2011-08-02,0.22,0,85,65,29
2011-08-03,0.45,0,85,61,43
2011-08-04,1.12,0,83,59,44
2011-08-05,0.67,0,79,60,37
2011-08-06,0.89,0,80,59,45
2011-08-07,0.67,0,80,59,50
2011-08-08,1.12,0,81,61,45
2011-08-09,1.57,0,80,62,43
2011-08-10,2.24,0,77,64,36
2011-08-11,2.01,0,76,63,40
2011-08-12,1.79,0,76,62,44
2011-08-13,0.89,0,78,62,48
2011-08-14,1.57,0,78,63,48
2011-08-15,0.45,0,82,63,58
2011-08-16,1.12,0,80,62,51
2011-08-17,1.12,0,81,61,45
2011-08-18,1.57,0,82,62,44
2011-08-19,1.34,0,77,64,46.5
2011-08-20,1.12,0,79,63,49
2011-08-21,1.57,0,79,62,49
2011-08-22,1.12,0,79,61,38
2011-08-23,1.12,0,83,63,34.5
2011-08-24,0.45,0,82,63,31
2011-08-25,1.12,0,90,65,42
2011-08-26,0.45,0,92,69,32
2011-08-27,0.67,0,93,69,47
2011-08-28,0.67,0,87,68,67
2011-08-29,0.45,0,85,66,41
2011-08-30,1.12,0,79,62,38
2011-08-31,1.12,0,78,59,34
2011-09-01,1.12,0,77,59,39
2011-09-02,1.12,0,76,58,44
2011-09-03,1.34,0,76,57,44
2011-09-04,1.34,0,77,59,48
2011-09-05,1.12,0,88,64,84
2011-09-06,NA,0,97,66,64
2011-09-07,0.89,0,96,70,80
2011-09-08,NA,0,92,69,56.5
2011-09-09,NA,0,81,64,33
2011-09-10,2.01,0,75,63,41
2011-09-11,1.79,0,78,63,45
2011-09-12,1.12,0,80,60,39
2011-09-13,1.57,0,80,63,38
2011-09-14,1.12,0,77,62,40.5
2011-09-15,1.12,0,79,62,43
2011-09-16,1.34,0,70,64,28
2011-09-17,1.12,0,74,62,39
2011-09-18,1.34,0,78,58,44
2011-09-19,1.57,0,74,60,42
2011-09-20,0.89,0,78,61,37
2011-09-21,1.12,0,78,61,40.5
2011-09-22,0.67,0,83,60,44
2011-09-23,1.12,0,79,61,36
2011-09-24,1.12,0,71,63,42
2011-09-25,0.45,0,71,61,45
2011-09-26,1.12,0,75,61,43
2011-09-27,0.89,0,84,61,42
2011-09-28,0.67,0,76,64,49
2011-09-29,0.89,0,79,62,35.5
2011-09-30,1.57,0,74,62,22
2011-10-01,1.57,0,85,60,34
2011-10-02,0.89,0,82,63,31
2011-10-03,1.34,0,78,61,31
2011-10-04,1.34,0,70,61,31
2011-10-05,2.91,1.15,64,56,24
2011-10-06,1.12,0,69,51,29
2011-10-07,1.12,0,72,53,31
2011-10-08,1.12,0,76,54,39
2011-10-09,0.67,0,82,56,47
2011-10-10,0.67,0,78,56,46
2011-10-11,0.89,0,81,58,35
2011-10-12,1.12,0,99,63,44
2011-10-13,0.89,0,98,68,44
2011-10-14,1.12,0,84,63,39
2011-10-15,1.12,0,74,61,37
2011-10-16,0.67,0,75,59,40
2011-10-17,0.22,0,81,58,27
2011-10-18,0.45,0,71,58,29
2011-10-19,1.34,0,70,60,29.25
2011-10-20,1.12,0,70,60,29.5
2011-10-21,0.67,0,70,58,29.75
2011-10-22,1.12,0,79,54,30
2011-10-23,0.67,0,75,58,45
2011-10-24,0.45,0,68,59,45
2011-10-25,0.22,0.02,65,58,39
2011-10-26,0.89,0,68,55,33
2011-10-27,0.67,0,77,50,32
2011-10-28,1.12,0,79,51,34
2011-10-29,0.67,0,81,51,25
2011-10-30,0.67,0,84,52,45
2011-10-31,0.89,0,73,53,41
2011-11-01,0.45,0,71,55,25
2011-11-02,0.89,0,82,52,28
2011-11-03,1.12,0,73,52,31
2011-11-04,2.68,0.16,63,51,27
2011-11-05,2.24,0,63,46,31
2011-11-06,2.68,0.36,61,48,30
2011-11-07,1.12,0,64,44,24
2011-11-08,1.12,0,69,46,24
2011-11-09,1.12,0,76,45,28
2011-11-10,2.01,0,75,56,15
2011-11-11,1.34,0,72,58,29
2011-11-12,4.25,0.16,64,54,31
2011-11-13,0.89,0,72,53,31
2011-11-14,1.34,0,67,50,23
2011-11-15,0.89,0,66,55,29
2011-11-16,1.12,0,67,55,24
2011-11-17,0.45,0,73,51,23
2011-11-18,0.22,0,61,56,18
2011-11-19,1.34,0,63,54,31
2011-11-20,2.91,0.9,56,51,24
2011-11-21,0.89,0,62,46,27
2011-11-22,0.22,0,69,47,18
2011-11-23,1.12,0,66,47,19
2011-11-24,0.89,0,62,50,30
2011-11-25,0.67,0,66,47,26
2011-11-26,0,0,82,46,23
2011-11-27,1.34,0,82,54,31
2011-11-28,1.12,0,81,57,12
2011-11-29,0,0,80,55,8
2011-11-30,3.58,0,69,49,33
2011-12-01,6.04,0,67,51,26.5
2011-12-02,1.57,0,64,47,20
2011-12-03,2.01,0,65,45,32
2011-12-04,0.89,0,63,39,22
2011-12-05,0.45,0,64,41,19
2011-12-06,0.67,0,63,37,15
2011-12-07,0.67,0,67,41,14
2011-12-08,0.89,0,67,42,6
2011-12-09,0.45,0,69,42,8
2011-12-10,0.45,0,70,45,17
2011-12-11,0.45,0,59,47,29
2011-12-12,4.25,0.79,53,48,15
2011-12-13,0.67,0.17,62,46,16
2011-12-14,0.67,0,61,45,17
2011-12-15,1.12,0.04,58,43,18
2011-12-16,0.67,0,68,40,15
2011-12-17,0.67,0.01,64,48,7
2011-12-18,0.22,0,63,47,21
2011-12-19,1.34,0,58,48,9
2011-12-20,0.45,0,64,45,9
2011-12-21,0.45,0,64,43,10
